Period,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
2014-01-31,185000,561000,785000,667000,773000,549000,272000
2014-02-28,241000,550000,881000,697000,812000,548000,249000
2014-03-31,235000,602000,822000,667000,733000,599000,227000
2014-04-30,207000,490000,813000,586000,670000,548000,248000
2014-05-31,159000,443000,868000,589000,633000,503000,267000
2014-06-30,147000,415000,725000,518000,517000,492000,286000
2014-07-31,191000,417000,761000,592000,547000,518000,310000
2014-08-31,173000,390000,696000,538000,523000,439000,352000
2014-09-30,172000,382000,700000,522000,572000,409000,272000
2014-10-31,121000,438000,647000,474000,554000,455000,272000
2014-11-30,137000,400000,579000,482000,529000,476000,263000
2014-12-31,141000,383000,641000,431000,499000,439000,238000
2015-01-31,160000,384000,664000,522000,546000,434000,254000
2015-02-28,173000,396000,613000,505000,525000,399000,274000
